nb_nodes,seed,algo,time,ans
86,2,glouton,3.5717,40
86,3,glouton,4.053,39
86,4,glouton,4.0751,41
86,5,glouton,3.6957,41
86,6,glouton,3.6392,40
86,7,glouton,3.7358,39
86,8,glouton,3.5254,38
86,9,glouton,4.0018,38
87,0,glouton,4.3401,40
87,1,glouton,4.1505,39
87,2,glouton,3.7583,39
87,3,glouton,3.6505,39
87,4,glouton,3.5767,38
87,5,glouton,3.7191,40
87,6,glouton,3.6938,39
87,7,glouton,3.6664,39
87,8,glouton,3.7428,40
87,9,glouton,3.5029,37
88,0,glouton,3.6016,38
88,1,glouton,3.9484,40
88,2,glouton,3.699,40
88,3,glouton,3.6871,39
88,4,glouton,3.872,39
88,5,glouton,3.7782,41
88,6,glouton,3.5966,38
88,7,glouton,4.0619,41
88,8,glouton,3.7209,40
88,9,glouton,3.8086,42
89,0,glouton,3.9338,41
89,1,glouton,3.8594,42
89,2,glouton,3.6802,39
89,3,glouton,5.2069,40
89,4,glouton,4.4441,42
89,5,glouton,4.0772,42
89,6,glouton,4.1227,39
89,7,glouton,4.3395,43
89,8,glouton,3.999,40
89,9,glouton,3.8827,39
90,0,glouton,4.2105,42
90,1,glouton,3.9521,39
90,2,glouton,4.1681,42
90,3,glouton,4.1351,42
90,4,glouton,4.1761,42
90,5,glouton,3.9646,43
90,6,glouton,3.7479,38
90,7,glouton,4.2755,42
90,8,glouton,4.1037,44
90,9,glouton,3.7765,39
91,0,glouton,4.0186,42
91,1,glouton,3.9877,40
91,2,glouton,4.2624,42
91,3,glouton,4.2717,42
91,4,glouton,4.1001,43
91,5,glouton,4.3966,43
91,6,glouton,4.1612,40
91,7,glouton,4.3668,44
91,8,glouton,4.5103,42
91,9,glouton,4.1641,42
92,0,glouton,4.2833,41
92,1,glouton,4.3279,42
92,2,glouton,4.1076,39
92,3,glouton,4.4028,43
92,4,glouton,4.3692,40
92,5,glouton,4.2184,41
92,6,glouton,4.1261,41
92,7,glouton,4.2676,43
92,8,glouton,4.1742,43
92,9,glouton,3.8932,39
93,0,glouton,4.2275,42
93,1,glouton,4.2429,39
93,2,glouton,4.198,41
93,3,glouton,4.2565,44
93,4,glouton,4.1132,42
93,5,glouton,4.4672,42
93,6,glouton,4.7335,40
93,7,glouton,4.5966,45
93,8,glouton,4.4887,43
93,9,glouton,4.6645,43
94,0,glouton,5.0266,40
94,1,glouton,4.457,42
94,2,glouton,4.2281,42
94,3,glouton,4.3534,44
94,4,glouton,4.5201,42
94,5,glouton,4.1318,40
94,6,glouton,4.583,42
94,7,glouton,4.3088,42
94,8,glouton,4.2529,43
94,9,glouton,4.2824,44
95,0,glouton,4.3754,44
